,song,artist,text
145,Put A Date On It,Yo Gotti Featuring Lil Baby,"""Put a date on it"" by Lil Baby,yo gotti:
    Yea,set coming in and the money Don't fold gotta put a stamp on it just hit a plate scraping off the..."
146,Pop Out,Polo G Featuring Lil Tjay,"""Pop Out"" by Polo G:
    [Intro]
    JD On Tha Track
    Iceberg want a bag, bitch
    
    [Chorus: Polo G]
    We pop out at your party, I'm wi..."
147,Boy With Luv,BTS Featuring Halsey,"""BTS - Boy With Luv (Music Video Version) ft. Halsey"" by BTS:
    [Verse 1: Jimin]
    Modeun ge gunggeumhae How’s your day
    Oh, tell me (oh yeah oh yeah, ah yeah ah yeah)..."
148,You Stay,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih","""You Stay"" by DJ Khaled:
    [Intro: India, Jeremih, & DJ Khaled]
    Sabes bien que fue un engaño
    Lo que me hiciste fue un pecado
    As..."
149,Good As You,Kane Brown,"""Good As You"" by Kane Brown:
    [Verse 1]
    See the way you're taking care of your Mama
    The way you’re taking care of me
    The way you l..."
150,Eastside,"benny blanco, Halsey & Khalid","""Eastside"" by ​benny blanco, Halsey & Khalid:
    [Intro: Khalid]
    Uh
    Yeah, yeah
    
    [Verse 1: Khalid]
    When I was young, I fell in love
    We used to hold ha..."
151,Walk Me Home,P!nk,"""Walk Me Home"" by P!nk:
    [Verse 1]
    There's somethin' in the way you roll your eyes
    Takes me back to a better time
    When I saw ..."
152,I Think,"Tyler, The Creator","""I THINK"" by Tyler, The Creator:
    [Intro: Tyler, The Creator]
    (Four, four, four, four)
    (Four, skate, four, skate, four, skate, four, s..."
153,Running Out Of Time,"Tyler, The Creator","""RUNNING OUT OF TIME"" by Tyler, The Creator:
    [Intro]
    Runnin' out of time, runnin' out of time, runnin' out of time
    Runnin' out of time to make yo..."
154,Rumor,Lee Brice,"""Rumor"" by Lee Brice:
    [Verse 1]
    Girl you know I've known you forever
    How many nights we hung out together
    Same little crow..."
155,Truth Hurts,Lizzo,"""Truth Hurts"" by Lizzo:
    [Intro]
    Why're men great till they gotta be great?
    Woo!
    
    [Verse 1]
    I just took a DNA test, turns out..."
156,Big Ole Freak,Megan Thee Stallion,"""Big Ole Freak"" by Megan Thee Stallion:
    [Intro]
    Tell me...
    (LilJuMadeDisBeat!)
    Tell me, is it love, is it love again? Oo-ooh
    
    [Verse 1]
    Ayy,..."
157,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,"""Racks in the Middle"" by Nipsey Hussle:
    [Intro: Roddy Ricch]
    (Hit-Boy)
    Yeah, yeah, yeah, yeah
    Yeah, yeah, yeah, yeah
    Yeah, I was ridin' ’rou..."
158,Close Friends,Lil Baby,"""Close Friends"" by Lil Baby:
    [Intro]
    Oh, this the one right here, Wicked?
    Okay
    Yeah, yeah
    Run that back, Turbo
    
    [Chorus]
    We start..."
159,Sicko Mode,Travis Scott,"""SICKO MODE"" by Travis Scott:
    [Part I]
    
    [Intro: Drake]
    Astro, yeah
    Sun is down, freezin' cold
    That's how we already know, winter's..."
160,Love Ain't,Eli Young Band,"""Love Ain’t"" by Eli Young Band:
    [Verse 1]
    Hotels are made for two night stays, checking in and out
    Meeting strangers in the lobby
    Wa..."
161,Celebrate,DJ Khaled Featuring Travis Scott & Post Malone,"""DJ Khaled - Celebrate ft. Travis Scott & Post Malone (Traducción al Español)"" by Genius Traducciones al Español:
    [Letra de ""DJ Khaled - Celebrate ft. Travis Scott & Post Malone (Traducción al Español)""]
    
    [Intro: D..."
162,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,"""Who Do You Love"" by The Chainsmokers & 5 Seconds of Summer:
    [Verse 1: Luke Hemmings]
    Yeah
    Found cigarettes in your Fendi coat
    Even though you don't even smoke
    A..."
163,Soltera,"Lunay, Daddy Yankee & Bad Bunny","""Soltera (Remix)"" by Lunay, Daddy Yankee & Bad Bunny:
    [Letra de ""Soltera Remix""]
    
    [Intro: Bad Bunny & Daddy Yankee]
    Épico
    Salte 'el medio, ¿okay?
    Yeh-yeh-..."
164,A Lot,21 Savage,"""​a lot"" by 21 Savage:
    [Intro: 21 Savage]
    I love you
    Turn my headphone down a little bit, yeah
    For so many reasons
    Yeah, ye..."
165,Envy Me,Calboy,"""Envy Me"" by CalBoy:
    [Chorus]
    Now I lay me down to sleep (Now I lay me down to sleep), ayy
    I pray the Lord my soul to kee..."
166,Miss Me More,Kelsea Ballerini,"""Miss Me More"" by Kelsea Ballerini:
    [Verse 1]
    I retired my red lipstick 'cause you said you didn't like it
    I didn't wear my high heel sh..."
167,Girls Need Love,Summer Walker X Drake,"""Novedades de Viernes 01/03/19"" by Spotify:
    [New Music Friday Latin]
    Ximena Sariñana - Cobarde
    Kany Garcia - Quédate (feat. Tommy Torres)
    benny ..."
168,A Boy Is A Gun,"Tyler, The Creator","""A BOY IS A GUN"" by Tyler, The Creator:
    [Refrain]
    No, don't shoot me down (Yeah)
    No, don't shoot me down (Okay)
    No, don't shoot me down
    
    [Ch..."
169,Homicide,Logic Featuring Eminem,"""“Homicide” Remix [Logic, Eminem]"" by Jaythelostking:
    [Hook]
    
    Look see
    Everybody hatin when i'm buzzin like a satellite givin off a wave
    Ta the earth for ..."
170,Igor's Theme,"Tyler, The Creator","""IGOR’S THEME"" by Tyler, The Creator:
    [Intro: Tyler, The Creator & Lil Uzi Vert]
    What, what, what, what, what, what, what, what, what, wha..."
171,Before I Let Go,Beyonce,"""Before I Let Go"" by Beyoncé:
    [Intro]
    What they say?
    The world
    (Tay Keith, fuck these niggas up)
    
    [Verse 1]
    You make me happy
    This..."
172,Calma,Pedro Capo X Farruko,"""April 2019 Singles Release Calendar"" by Genius:
    4/1
    Ariana Grande & Victoria Monet - ""MONOPOLY""
    Bazzi - ""Caught in the Fire""
    Snoh Aalegra - ""You""
    So..."
173,This Is What You Came For,Calvin Harris Featuring Rihanna,"""This Is What You Came For"" by Calvin Harris:
    [Chorus: Rihanna]
    Baby, this is what you came for
    Lightning strikes every time she moves
    And everybo..."
174,Talk You Out Of It,Florida Georgia Line,"""Talk You Out of It"" by Florida Georgia Line:
    [Verse 1]
    Girl, I know you had a long day
    You ain't feelin' them downtown lights
    But I got a bottle ..."
175,Love Someone,Brett Eldredge,"""Love Someone"" by Brett Eldredge:
    [Verse 1]
    Oh baby, would you look right there
    The way the sun is hitting your hair
    The way the world..."
176,Earth,Lil Dicky,"""Earth"" by Lil Dicky:
    [Intro: Lil Dicky]
    What up, world? It's your boy, just one of the guys down here. Well, I could be m..."
177,Needed Me,Rihanna,"""Needed Me"" by Rihanna:
    [Intro: YG]
    Mustard on the beat ho!
    
    [Verse 1]
    I was good on my own
    That's the way it was
    That's the..."
178,Night Shift,Jon Pardi,"""Night Shift"" by Jon Pardi:
    [Verse 1]
    It's been a wreck me week
    Sixty plus from dawn to dusk
    In the red dirt heat
    Busting it up ..."
179,24/7,Meek Mill Featuring Ella Mai,"""24/7"" by Meek Mill:
    [Intro: Beyoncé]
    End, that's what I found out
    
    [Chorus: Ella Mai]
    Tell me how you want it, yeah
    Call..."
180,Robbery,Juice WRLD,"""Robbery"" by Juice WRLD:
    [Intro]
    Man, what? (Haha)
    This shit funny, one sec
    Oof, this Hennessy strong as fuck, boy
    
    [Chorus]
    ..."
181,Here Tonight,Brett Young,"""Here Tonight"" by Brett Young:
    [Verse 1]
    Hmm, if ever I get lost in your eyes tonight
    Please just let me stay right there a little ..."
182,Don't Call Me Up,Mabel,"""Don’t Call Me Up"" by Mabel:
    [Verse 1]
    When I'm underneath the bright lights
    When I'm tryna have a good time
    'Cause I'm good now ..."
183,Don't Mind,Kent Jones,"""Don’t Mind"" by Kent Jones:
    [Intro]
    Hola, holana
    
    [Pre-Chorus]
    Keep telling me this and telling me that
    You said once you take m..."
184,Weather The Storm,DJ Khaled Featuring Meek Mill & Lil Baby,"""Weather the Storm"" by DJ Khaled:
    [Intro: DJ Khaled & Meek Mill]
    We The Best Music
    2019 we ain't taking no shorts unless we going on v..."
185,What's Good,"Tyler, The Creator","""WHAT’S GOOD"" by Tyler, The Creator:
    [Part I]
    
    [Verse 1]
    Turn my lights on
    How the fuck you quiet with the mic on?
    I don't get anxiety, y..."
186,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,"""January 2019 Singles Release Calendar"" by Genius:
    1/1
    Anuel AA - ""Te Boté (RHLM Version)""
    Chaka Khan - ""Hello Happiness""
    DaBaby - ""Walker Texas Ranger..."
187,Someone You Loved,Lewis Capaldi,"""Someone You Loved"" by Lewis Capaldi:
    [Verse 1]
    I'm going under, and this time, I fear there's no one to save me
    This all or nothing reall..."
188,Go Loko,"YG, Tyga & Jon Z","""Go Loko"" by YG:
    [Intro]
    Mustard on the beat, ho
    
    [Chorus: Tyga]
    My bitch go loco (Go loco, go loco)
    María, María, Ma..."
189,What If I Never Get Over You,Lady Antebellum,"""What If I Never Get Over You"" by Lady Antebellum:
    [Verse 1: Charles Kelly]
    It's supposed to hurt, it's a broken heart
    But to movin' on is the hardest ..."
190,Te Robare,Nicky Jam X Ozuna,"""March 2019 Singles Release Calendar"" by Genius:
    3/1
    AJ Mitchell - ""All My Friends""
    ​​Bea Miller & 6LACK - ""it's not u it's me""
    Betta Lemme - ""Kick t..."
191,Knockin' Boots,Luke Bryan,"""Knockin’ Boots"" by Luke Bryan:
    [Verse 1]
    This truck needs a half tank
    These wheels need a two-lane
    This radio needs three songs to ..."
192,All To Myself,Dan + Shay,"""All to Myself"" by Dan + Shay:
    [Verse 1]
    I'm jealous of the blue jeans that you're wearing
    And the way they're holding you so tight..."
193,Shotta Flow,NLE Choppa,"""Shotta Flow"" by NLE Choppa:
    [Intro]
    I wish everything I touch would turn to gold
    NLE, you heard me
    Baby Mexico Choppa man, top s..."
194,One Dance,Drake Featuring WizKid & Kyla,"""One Dance"" by Drake:
    [Intro: Kyla]
    Baby, I like your style
    
    [Verse 1: Drake]
    Grips on your waist, front way, back way
    You..."
195,Triggered,Jhene Aiko,"""Triggered (freestyle)"" by Jhené Aiko:
    [Verse 1]
    Go figure
    You were the trigger
    You brought me to an obstructed view
    When you knew the pict..."
196,Puppet,"Tyler, The Creator","""PUPPET"" by Tyler, The Creator:
    [Verse 1: Tyler, The Creator]
    Ayo
    I wanna talk, I wanna call you and talk
    I wanna walk to your front..."
197,Panda,Desiigner,"""Panda"" by Desiigner:
    [Intro]
    This what they all been waitin' for
    I guess so
    They been waitin’ for this shit for a long ti..."
198,On My Way To You,Cody Johnson,"""On My Way to You"" by Cody Johnson:
    [Verse 1]
    All the boats I've missed
    All the hell I've caused
    All the lips I've kissed
    All the love I..."
199,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,"""Work from Home"" by Fifth Harmony:
    [Verse 1: Camila]
    I ain't worried 'bout nothin', I ain't wearin' na-nada
    I'm sittin' pretty, impatie..."
200,All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,"""All In My Head (Flex)"" by Fifth Harmony:
    [Intro: Dinah]
    Flex, time to impress
    Come and climb in my bed
    Don't be shy, do your thing
    It's all i..."
201,Lost Boy,Ruth B,"""Lost Boy"" by Ruth B.:
    [Verse 1]
    There was a time when I was alone
    Nowhere to go and no place to call home
    My only friend w..."
202,I Got The Keys,DJ Khaled Featuring Jay Z & Future,"""I Got the Keys"" by DJ Khaled:
    [Intro: JAY-Z, Future & DJ Khaled]
    808 Mafia
    Uh, uh-uh-uh, DJ Khaled
    We The Best music! (Future, Fut..."
203,Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors","""New Music Friday 06/24/16"" by Spotify:
    Lil Wayne, Wiz Khalifa & Imagine Dragons - Sucker for Pain with Logic & Ty Dolla $ign feat. X Ambass..."
204,Dangerous Woman,Ariana Grande,"""Dangerous Woman"" by Ariana Grande:
    [Verse 1]
    Don't need permission
    Made my decision to test my limits
    'Cause it's my business, God as m..."
205,THat Part,ScHoolboy Q Featuring Kanye West,"""THat Part"" by ScHoolboy Q:
    [Chorus: ScHoolboy Q]
    Me no conversate with the fake... that part
    All my bitches independent bitches..."
206,Into You,Ariana Grande,"""Into You"" by Ariana Grande:
    [Verse 1]
    I'm so into you, I can barely breathe
    And all I wanna do is to fall in deep
    But close ain'..."
207,I Took A Pill In Ibiza,Mike Posner,"""I Took a Pill in Ibiza"" by Mike Posner:
    [Verse 1]
    I took a pill in Ibiza
    To show Avicii I was cool
    And when I finally got sober, felt 10 yea..."
208,"Me, Myself & I",G-Eazy x Bebe Rexha,"""Behind The Lyrics: The Complete Experience Playlist"" by Genius x Spotify:
    The 1975, The Sound
    
    2 Chainz, Back On The Bullshyt
    
    2 Chainz, Bounce
    
    2 Chainz, Dedication
    
    2 Chain..."
209,Record Year,Eric Church,"""Record Year"" by Eric Church:
    [Verse 1]
    Since you turned the tables on me
    I've been steady and learnin' lonely
    Keepin' this turnta..."
210,Sorry,Beyonce,"""SORRY"" by Beyoncé:
    [Chorus]
    Sorry, I ain't sorry
    Sorry, I ain't sorry
    I ain't sorry, nigga, nah
    Sorry, I ain't sorry
    So..."
211,Never Forget You,Zara Larsson & MNEK,"""Never Forget You"" by Zara Larsson & MNEK:
    [Verse 1: Zara Larsson]
    I used to be so happy, but without you here I feel so low
    I watched you as y..."
212,From The Ground Up,Dan + Shay,"""From The Ground Up"" by Dan + Shay:
    [Verse 1: Dan & Shay]
    Grandma and grandpa painted a picture
    Of 65 years in one little house
    More tha..."
213,We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,"""We Don’t Talk Anymore"" by Charlie Puth:
    [Chorus: Charlie Puth]
    We don't talk anymore, we don't talk anymore
    We don't talk anymore, like we u..."
214,Just Like Fire,P!nk,"""Just Like Fire"" by P!nk:
    [Verse 1]
    I know that I am runnin' out of time
    I want it all, mmm, mmm
    And I'm wishin' they'd stop t..."
215,Controlla,Drake,"""Controlla"" by Drake:
    [Verse 1: Drake]
    Right, my yiy just changed
    You just buzzed the front gate
    I thank God you came
    How ..."
216,Kill Em With Kindness,Selena Gomez,"""Kill Em with Kindness"" by Selena Gomez:
    [Verse 1]
    The world can be a nasty place
    You know it, I know it, yeah
    We don’t have to fall from gra..."
217,Wild Things,Alessia Cara,"""Wild Things"" by Alessia Cara:
    [Verse 1]
    Find table spaces
    Say your social graces
    Bow your head, they're pious here
    But you and I, ..."
218,Pop Style,Drake Featuring The Throne,"""Pop Style (Single Version)"" by Drake:
    [Intro: Drake]
    Yeah, yeah
    
    [Chorus: Drake]
    Dropped outta school, now we dumb rich (Dumb rich)
    This s..."
219,Too Good,Drake Featuring Rihanna,"""I Hate You I Love You by Gnash and Too Good by Drake ft Rihanna"" by Alex Aiono:
    [I Hate You I Love You: Gnash]
    [Verse 1]
    
    
    Feeling used
    But I'm
    Still missing you
    And I can't
    See th..."
220,Cake By The Ocean,DNCE,"""Cake By the Ocean"" by DNCE:
    [Verse 1]
    Oh, no
    See you walking 'round like it's a funeral
    Not so serious girl; why those feet cold..."
221,Send My Love (To Your New Lover),Adele,"""Send My Love (To Your New Lover)"" by Adele:
    [Intro]
    Just the guitar?
    Okay, cool
    
    [Verse 1]
    This was all you, none of it me
    You put your hands on..."
222,Really Really,Kevin Gates,"""Really Really"" by Kevin Gates:
    [Intro]
    Diamonds really diamonds
    And I'm shining bright ‘cause I'm really grindin'
    They ask me if I'..."
223,Peter Pan,Kelsea Ballerini,"""Peter Pan"" by Kelsea Ballerini:
    [Verse 1]
    The smile, the charm, the words, the spark, everything, you had it
    Guess I had a naive hea..."
224,Head Over Boots,Jon Pardi,"""Head Over Boots"" by Jon Pardi:
    [Verse 1]
    I wanna sweep you off your feet tonight
    I wanna love you and hold you tight
    Spin you aroun..."
225,Wicked,Future,"""Wicked"" by Future:
    [Intro]
    (DJ Esco Moe City the coolest DJ on the muthafuckin' planet)
    Wicked tunes, you know what I'm..."
226,Work,Rihanna Featuring Drake,"""Rihanna – Work (ft. Drake) [Deutsche Übersetzung]"" by Genius Deutsche Übersetzungen:
    [Hook: Rihanna]
    Arbeiten, arbeiten, arbeiten, arbeiten, arbeiten, arbeiten
    Er sagte, ich muss
    Arbeit..."
227,Love Yourself,Justin Bieber,"""Love Yourself"" by Justin Bieber:
    [Produced by Benny Blanco]
    
    [Verse 1]
    For all the times that you rained on my parade
    And all the clu..."
228,Never Be Like You,Flume Featuring Kai,"""Never Be Like You"" by Flume:
    [Verse 1: Kai]
    What I would do to take away this fear of being loved
    Allegiance to the pain
    Now I'm ..."
229,Wasted Time,Keith Urban,"""Wasted Time"" by Keith Urban:
    [Verse 1]
    The rain is coming down tonight
    I'm smiling, looking at this photograph
    I hear that song a..."
230,H.O.L.Y.,Florida Georgia Line,"""H.O.L.Y."" by Florida Georgia Line:
    [Verse 1]
    When the sun had left and the winter came
    And the sky fall to only bring the rain
    I sat in..."
231,T-Shirt,Thomas Rhett,"""T-Shirt"" by Thomas Rhett:
    [Verse 1]
    Get off work and we meet down at our spot
    We had a patio with a view of a parking lot
    It w..."
232,Close,Nick Jonas Featuring Tove Lo,"""Close"" by Nick Jonas:
    [Verse 1: Nick Jonas]
    Oh damn, oh damn, oh damn
    I'm so perplexed
    With just one breath, I'm locked in..."
233,Wherever I Go,OneRepublic,"""Wherever I Go"" by OneRepublic:
    [Chorus]
    I know I could lie but I’m telling the truth
    Wherever I go there’s a shadow of you
    I know I..."
234,My House,Flo Rida,"""My House"" by Flo Rida:
    [Intro]
    Open up the champagne, pop!
    It's my house, come on, turn it up
    
    [Verse 1]
    Hear a knock on th..."
235,Oui,Jeremih,"""​Oui"" by Jeremih:
    [Intro]
    Ahh ahh ahh ahh ahh
    Ahh ahh ahh ahh ahh
    Ahh ahh ahh ahh ahh ahh..
    
    [Verse 1]
    I think about a..."
236,Pillowtalk,Zayn,"""PILLOWTALK"" by ZAYN:
    [Verse 1]
    Climb on board
    We'll go slow and high tempo
    Light and dark
    Hold me hard and mellow
    
    [Pre-C..."
237,"Huntin', Fishin' & Lovin' Every Day",Luke Bryan,"""Huntin’, Fishin’ & Lovin’ Every Day"" by Luke Bryan:
    [Intro]
    Woah, woah
    Wo-wooah, mmm
    
    [Verse 1]
    If I could make a living from walking in the woods
    You c..."
238,7 Years,Lukas Graham,"""7 Years"" by Lukas Graham:
    [Chorus 1]
    Once I was seven years old my momma told me
    Go make yourself some friends or you'll be lo..."
239,No,Meghan Trainor,"""NO"" by Meghan Trainor:
    [Intro]
    I think it's so cute and I think it's so sweet
    How you let your friends encourage you to try..."
240,All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared","""All the Way Up (Remix)"" by Fat Joe & Remy Ma:
    [Intro: Jay Z]
    Cool and Dre, this is, this is
    The remix for the city, let's just start snappin'
    Crac..."
241,"Sit Still, Look Pretty",Daya,"""Sit Still, Look Pretty"" by Daya:
    [Verse 1]
    Could dress up, to get love
    But guess what?
    I'm never gonna be that girl
    Who's living in a..."
242,Church Bells,Carrie Underwood,"""Church Bells"" by Carrie Underwood:
    [Verse 1]
    Jenny grew up wild, like a blackfoot daisy
    Out in the shack with a blue tick hound
    Broke a..."
243,For Free,DJ Khaled Featuring Drake,"""For Free (Drake Pick Remix)"" by DJ Khaled:
    MAjor shit"
244,Sorry,Justin Bieber,"""Sorry"" by Justin Bieber:
    [Written by Julia Michaels, Justin Tranter, and Justin Bieber]
    
    [Verse 1]
    You gotta go and get angry..."
245,Me Too,Meghan Trainor,"""Me Too"" by Meghan Trainor:
    [Intro]
    Ow!
    
    [Verse 1]
    Who's that sexy thang I see over there?
    That's me, standin' in the mirror
    Wha..."
246,Low Life,Future Featuring The Weeknd,"""Low Life"" by Future:
    [Refrain]
    High, high, get, get, gettin' high, everybody gettin' high
    Get, get, get, gettin' high, yo..."
247,Toothbrush,DNCE,"""Toothbrush"" by DNCE:
    [Chorus]
    Maybe you don't have to rush
    You can leave a toothbrush at my place
    At my place
    We don't ne..."
248,Lights Come On,Jason Aldean,"""Lights Come On"" by Jason Aldean:
    [Verse 1]
    You're a crack of dawn, Monday morning, coffee strong
    Poured everything you got into a pay..."
249,Gold,Kiiara,"""Gold"" by Kiiara:
    [Produced by Felix Snow]
    
    [Intro]
    Roof was on, let me, love me-on-ly s-you know
    Roof was on, let me,..."
250,Stressed Out,twenty one pilots,"""Stressed Out"" by ​twenty one pilots:
    [Verse 1]
    I wish I found some better sounds no one's ever heard
    I wish I had a better voice that san..."
251,Uber Everywhere,MadeinTYO,"""Uber Everywhere"" by MadeinTYO:
    [Intro]
    K. Swisha on the track
    Skrrt-skrrt
    Hey, hey, hey
    Skrrt-skrrt
    I know anywhere
    Hey, hey
    
    [Vers..."
252,Cut It,O.T. Genasis Featuring Young Dolph,"""Cut It"" by O.T. Genasis:
    [Hook: O.T. Genasis]
    Cut it, cut it, cut it, cut it
    Cut it, cut it, cut it, cut it
    Them bricks is wa..."
253,Famous,Kanye West,"""Famous"" by Kanye West:
    [Intro: Rihanna & Kanye West]
    Man, I can understand how it might be
    Kinda hard to love a girl like m..."
254,My PYT,Wale,"""My PYT"" by Wale:
    [Hook: Sam Sneak + Wale]
    She a couple couple, couple years younger
    But she badder than a motherfucke..."
255,Try Everything,Shakira,"""Try Everything"" by Shakira:
    [Intro]
    Oh oh oh oh oooh
    Oh oh oh oh oooh
    Oh oh oh oh oooh
    Oh oh oh oh oooh
    
    [Verse 1]
    I messed up t..."
256,With You Tonight / Hasta El Amanecer,Nicky Jam,"""With You Tonight (Hasta El Amanecer)"" by Nicky Jam:
    [Chorus]
    Girl you know that I'll do anything
    To know a little more than just your name
    Only thing I ..."
257,Why You Always Hatin?,YG Featuring Drake & Kamaiyah,"""Why You Always Hatin?"" by YG:
    [Verse 1: YG]
    All up in my face, you not from the clique
    Give me space, we might rob the shit
    Most h..."
258,Let It Go,James Bay,"""Let It Go"" by James Bay:
    [Verse 1]
    From walking home and talking loads
    To seeing shows in evening clothes with you
    From nervo..."
259,Wake Up,Fetty Wap,"""Wake Up"" by Fetty Wap:
    [Intro]
    1738
    Tellin' you guys how I feel man...
    
    [Hook]
    When you wake up in the mornin', ayy
    Mom's y..."
260,Make You Miss Me,Sam Hunt,"""Make You Miss Me"" by Sam Hunt:
    [Verse 1]
    You hear a new song, it's your favorite
    But pretty soon you'll be changing the station
    And..."
261,She's Got A Way With Words,Blake Shelton,"""She’s Got a Way With Words"" by Blake Shelton:
    [Verse 1]
    When you put two and two together
    You figure out love's got four letters
    I shoulda known t..."
262,Here,Alessia Cara,"""Here"" by Alessia Cara:
    [Written by Alessia Cara & Sebastian Kole]
    [Produced by Pop & Oak and Sebastian Kole]
    
    [Intro]
    I gue..."
263,The Sound Of Silence,Disturbed,"""The Sound of Silence"" by Disturbed:
    [Verse 1]
    Hello darkness, my old friend
    I've come to talk with you again
    Because a vision softly cre..."
264,Dark Necessities,Red Hot Chili Peppers,"""Dark Necessities"" by Red Hot Chili Peppers:
    [Verse 1]
    Coming on to the light of day we got
    Many moons that are deep at play so I
    Keep an eye on ..."
265,In The Night,The Weeknd,"""In the Night"" by The Weeknd:
    [Verse 1]
    All alone, she was livin'
    In a world without an end or beginnin'
    Baby girl was livin' life..."
266,Still Here,Drake,"""Still Here"" by Drake:
    [Intro]
    Doin' well dog
    Yeah, me and all my
    Yeah, me—yeah
    
    [Hook]
    Me and all my niggas doin' well, do..."
267,Die A Happy Man,Thomas Rhett,"""Die a Happy Man"" by Thomas Rhett:
    [Verse 1]
    Baby, last night was hands down
    One of the best nights that I've had, no doubt
    Between the..."
268,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,"""Like I’m Gonna Lose You"" by Meghan Trainor:
    [Verse 1: Meghan Trainor]
    I found myself dreaming in silver and gold
    Like a scene from a movie that ..."
269,Hello,Adele,"""Hello"" by Adele:
    [Verse 1]
    Hello, it's me
    I was wondering if after all these years you'd like to meet
    To go over ever..."
270,American Country Love Song,Jake Owen,"""American Country Love Song"" by Jake Owen:
    [Verse 1]
    It's two tickets to a concert
    It's a Daytona airbrush T-shirt
    Wondering who's gonna kiss y..."
271,No Limit,Usher Featuring Young Thug,"""No Limit"" by Usher:
    [Chorus: Usher]
    Make you say uh, no limit
    Got that Master P, no limit baby
    Give you that black card,..."
272,Think Of You,Chris Young Duet With Cassadee Pope,"""Ulysses (Chap. 15 - Circe)"" by James Joyce:
    The Mabbot street entrance of nighttown, before which stretches an uncobbled transiding set with ske..."
273,Night's On Fire,David Nail,"""Night’s On Fire"" by David Nail:
    [Verse 1]
    Cue the music out the driveway
    Slow summer on a Friday
    Here we go again, wild in the wind
    ..."
274,Don't,Bryson Tiller,"""Don’t"" by Bryson Tiller:
    [Verse 1]
    Don't, don't play with her, don't be dishonest (Ayy)
    Still not understandin' this logic (A..."
275,The Hills,The Weeknd,"""The Hills"" by The Weeknd:
    [Intro]
    Yeah
    Yeah
    Yeah
    
    [Verse 1]
    Your man on the road, he doin' promo
    You said, ""Keep our business ..."
276,Can't Feel My Face,The Weeknd,"""Can’t Feel My Face"" by The Weeknd:
    [Produced by Max Martin]
    
    [Verse 1]
    And I know she'll be the death of me
    At least we'll both be numb..."
277,Noise,Kenny Chesney,"""Noise"" by Kenny Chesney:
    [Verse 1]
    Wreckin' balls, downtown construction
    Bottles breakin', jukebox buzzin'
    Cardboard sign say..."
278,Childs Play,Drake,"""Child’s Play"" by Drake:
    [Intro]
    Breaking news, my niggas
    If your girlfriend has went to any
    Season opener basketball game
    Be..."
279,679,Fetty Wap Featuring Remy Boyz,"""679"" by Fetty Wap:
    [Produced by Peoples]
    
    [Intro: Fetty Wap]
    Yeaaah baby, 17
    (RemyBoy Lifestyle)
    Ay, ay, look
    
    [Verse 1..."
280,Came Here To Forget,Blake Shelton,"""Came Here to Forget"" by Blake Shelton:
    [Verse 1]
    Girl you're getting over him and I'm getting over her
    The eyes have it made, ain't gotta s..."
281,Father Stretch My Hands Pt. 1,Kanye West,"""Father Stretch My Hands, Pt. 1"" by Kanye West:
    [Intro: Pastor T.L. Barrett / Choir & Future]
    You're the only power (power)
    You're the only power th..."
282,Hotline Bling,Drake,"""Hotline Bling"" by Drake:
    [Intro]
    You used to call me on my
    You used to, you used to
    Yeah
    
    [Chorus]
    You used to call me on my ..."
283,You Don't Own Me,Grace Featuring G-Eazy,"""You Don’t Own Me"" by Grace:
    [Intro: Grace]
    You don't own me
    You don't own me
    
    [Verse 1: G-Eazy]
    Woah, let's go
    But I'm Gerald an..."
284,Jumpman,Drake & Future,"""Jumpman"" by Drake & Future:
    [Intro: Drake & Future]
    If Young Metro don't trust you I'm gon' shoot you
    Yeah, yeah
    Halloween
    Talib..."
285,Confident,Demi Lovato,"""Confident"" by Demi Lovato:
    [Intro]
    Are you ready?
    Ha
    
    [Verse 1]
    It's time for me to take it
    I'm the boss right now
    Not gonna fa..."
286,Money Longer,Lil Uzi Vert,"""Money Longer"" by Lil Uzi Vert:
    [Chorus]
    Yah, it do not matter
    Turned to a savage, pocket got fatter, she call me daddy
    Smokin' that..."
287,Antidote,Travis Scott,"""Antidote"" by Travis Scott:
    [Produced by Eestbound & WondaGurl]
    
    [Chorus]
    Don't you open up that window
    Don't you let out that a..."
288,Different For Girls,Dierks Bentley Featuring Elle King,"""Different for Girls"" by Dierks Bentley:
    [Verse 1: Dierks Bentley]
    She don't throw any t-shirt on and walk to a bar
    She don't text her friend..."
289,Luv,Tory Lanez,"""LUV"" by Tory Lanez:
    [Verse 1]
    We ah sip the Henny for the day baby
    Bad man, we no stray baby
    Oops I done fell for your w..."
290,Same Old Love,Selena Gomez,"""Same Old Love"" by Selena Gomez:
    [Produced by Benny Blanco and StarGate]
    [Written by Benny Blanco, Charli XCX, Mikkel S. Eriksen, Ros..."
